#fields:Hanzi	Pinyin	English	Notes	Tags
连长	liánzhǎng	company commander (military)		cohesion even connections characters
莲花	liánhuā	lotus flower		religion buddhism folk-religion goddess compassion pure-land amitabha faith
联合	liánhé	to unite; to join together; joint; united	联 lián (to link; to connect) + 合 hé (to join). To link separate parties into a single front: 联合国 "the United Nations," 联合声明 "a joint statement." The uniting is formal and often institutional.	connections society meaning characters
联系	liánxì	to contact; to get in touch; to link; connection	联 lián (to join; to unite) + 系 xì (tie). Both the act of making contact and the link itself. As a verb: 联系我 "get in touch with me." As a noun: 保持联系 "keep in contact."	connections meaning society characters cohesion even social culture
廉价	liánjià	cheap, low-priced		society social daily-life characters
脸蛋	liǎndàn	cheeks; (affectionate) little face	脸 (face) + 蛋 (egg, oval). The egg-smooth oval of the cheeks, a warm word usually aimed at children or a pretty face. Often softened further to 脸蛋儿 (liǎndànr) with the northern -r ending.	food nature daily-life characters body social
脸红	liǎnhóng	to blush		body social daily-life characters
脸面	liǎnmiàn	face (combining both concepts); dignity; decency	A compound that fuses both face concepts. 脸面 covers the full spectrum , both the social prestige dimension of 面子 and the moral character dimension of 脸. Often used in contexts where both are at stake: 要顾脸面 (to consider one's dignity) means both social standing and personal integrity.	social honor culture
脸盆	liǎnpén	washbasin	脸 (face) + 盆 (basin). The basin you fill to wash your face, a fixture of older Chinese households before plumbing reached every sink. A small window onto domestic life packed into two characters.	body social daily-life characters
脸皮	liǎnpí	facial skin; (figurative) sense of shame; nerve	脸 (face) + 皮 (skin). The skin of the face, and by extension one's capacity for shame. 脸皮厚 (liǎnpí hòu), thick-skinned, means shameless or unembarrassable; 脸皮薄 (liǎnpí báo), thin-skinned, means easily mortified.	body social daily-life characters
脸谱	liǎnpǔ	painted faces		opera theatre performance culture arts music
脸色	liǎnsè	complexion; facial expression; mood read off the face	脸 (face) + 色 (color, look). Literally the color of the face, used both for physical complexion and for the mood it betrays. To 看脸色 (kàn liǎnsè) is to read someone's expression and act accordingly, a core social skill.	body social daily-life characters aesthetics culture color philosophy
练兵	liànbīng	to drill troops		daily-life communication characters
练功	liàngōng	to train one's craft, drill skills		daily-life communication characters
练习	liànxí	to practice; an exercise	练 (drill) + 习 (to study, to be habituated). The two near-synonyms stack into the all-purpose word for practicing, and as a noun for a practice exercise or drill set.	daily-life communication characters mastery time martial-arts
练字	liàn zì	to practice writing characters; to practice calligraphy	练 liàn (to practice; to train; to drill; originally, to boil silk to soften it) + 字 zì. Implies regularity, discipline, and sustained improvement. 练字 is deliberate, structured practice, not casual doodling.	daily-life communication characters writing language meta
炼	liàn	to refine, to smelt		daily-life communication characters
良朋	liángpéng	a good friend: a worthy companion	良 liáng (good, fine) + 朋 péng (friend). A good and worthy friend, the term carrying the older weight of 朋. Literary in tone; often paired as 良朋益友 "good friends who do you good." You would write it, not say it over coffee.	social humanity connections characters
良心话	liángxīn huà	honest words; words from the conscience; what one genuinely means	Speech that comes directly from the conscience, stripped of social performance, flattery, or evasion. The preface 说句良心话 signals: what follows is my genuine view, even if it is unwelcome.	ethics virtue confucianism human-nature philosophy mind wang-yangming
良知	liángzhī	innate moral knowledge; knowing good and evil without deliberation	The philosophical term from Mencius, developed by Wang Yangming into the center of his system. More formal and theoretical than 良心; primarily found in philosophical and intellectual contexts.	wang-yangming neo-confucianism confucianism philosophy ethics human-nature knowing mind history ming ritual virtue
凉	liáng	cool		cosmology nature weather
凉茶	liáng chá	cooling tea — Guangdong herbal brews for clearing heat		tea tisane herbal culinary tcm health
两岸	liǎng'àn	Both shores	Both shores: the standard PRC and Taiwan term for the cross-strait relationship: literally "both banks" (of the Taiwan Strait). 两岸关系 (cross-strait relations) is the neutral term used by both governments.	taiwan geography politics
两边	liǎngbiān	both sides; the two sides	两 liǎng + 边 biān (side). Both sides, the two sides of something, drawing directly on 两's sense of a balanced pair: 马路两边 (both sides of the road), 两边都同意 (both sides agree). Related are 两手 (both hands), 两旁 (on either side), and 两端 (the two ends).	language grammar daily-life
两点	liǎng diǎn	two o'clock; two points	两 liǎng + 点 diǎn (o'clock; point). Two o'clock: 下午两点 (two in the afternoon). Because 点 functions as a measure word here, the two must be 两, not 二. The same logic gives 两点意见 (two points of opinion).	language grammar daily-life
两个	liǎng gè	two (of something); the two	两 liǎng + 个 gè (the general measure word). The basic, high-frequency way to count two of almost anything: 两个人 (two people), 两个问题 (two questions), 两个小时 (two hours). The use of 两 rather than 二 here is obligatory, since a measure word follows.	language grammar daily-life
两口子	liǎngkǒuzi	a married couple; husband and wife	两 liǎng + 口 kǒu (mouth, here a person) + 子 (suffix). A colloquial, warm word for a married couple, the two of them as a household pair: 他们两口子 (the two of them, that couple). 小两口 (xiǎo liǎngkǒu) is an affectionate term for a young couple.	language grammar daily-life
亮	liàng	bright; light up		light clarity time
量体温	liáng tǐwēn	to take a temperature: to measure body heat	量 liáng (to measure) + 体温 tǐwēn (body temperature). A high-frequency everyday verb-object phrase: to take someone's temperature with a thermometer. The same 量 measures other body data in parallel phrases, 量血压 (liáng xuèyā, to take blood pressure), 量身高 (liáng shēngāo, to measure height).	measure-words evaluation meaning characters
量子	liàngzi	Quantum	Quantum. 量子力学 is quantum mechanics; 量子纠缠 (entanglement, "quantum entwining") supplies metaphors for codependent relationships in internet slang.	physics science vocabulary energy translation
聊天	liáotiān	to chat		language communication spoken characters
潦草	liáocǎo	sloppy (writing)		nature daily-life characters
列传	lièzhuàn	Biographies — individual lives	Seventy chapters, the largest and most celebrated section: biographies of statesmen, generals, philosophers, and also of assassins, jesters, merchants, physicians, knights-errant, and recluses.	classics history han literature ancient biography
猎狗	liègǒu	hunting dog, hound	猎 (liè, to hunt) + 狗. A dog bred or trained to hunt: pointer, retriever, hound. The character 猎 itself carries the beast radical 犭, so the compound stacks two animal-marked graphs.	nature daily-life characters
邻居	línjū	neighbor		family society home direction geography daily-life history humanity confucianism radical
林	lín	grove		radical nature wuxing cosmology
林彪	Lín Biāo	Lin Biao, Mao's designated successor (d. 1971)		cultural-revolution mao 1966
林则徐	Lín Zéxú	Commissioner who destroyed the opium		qing manchu decline
临济	Línjì	Linji school (Rinzai in Japan)		chan zen meditation
临摹	línmó	to copy a master's work in order to learn	临 lín (to face; to approach, as in approaching the model directly) + 摹 mó (to trace; to copy). The foundational method of calligraphic learning: copying master works character by character to internalize their structure and spirit.	calligraphy art brush arts philosophy writing
临写	línxiě	to copy a calligraphic model		writing language arts calligraphy
临终助念	línzhōng zhùniàn	deathbed recitation assistance — accompanying the dying	临终 línzhōng (at the moment of death) + 助念 zhùniàn (assistance-recitation). A distinctively Chinese Pure Land practice: when a practitioner is dying, fellow practitioners gather and recite 南无阿弥陀佛 aloud continuously, for hours or even days.	pure-land amitabha faith
灵	líng	spirit; efficacious		religion folk-religion gods philosophy taoism cosmology mind energy
灵魂	línghún	soul		radical emotion mind shamanism manchu indigenous
灵活	línghuó	flexible; nimble; agile; adaptable	灵 líng (quick, clever, responsive) + 活 huó (lively, free). Able to move or change freely: nimble fingers, a flexible schedule, a supple mind. The opposite is 死板 sǐbǎn (rigid, literally dead-stiff), where the water has stopped flowing.	daily-life nature motion characters
灵梦救父	língmèng jiù fù	the trance-rescue — spirit-sailing to save her father	The foundational legend: Lin Mo, while weaving at home, fell into a trance. In her spirit-state, she crossed the sea, seized her father's boat with one hand and her brother's boat with the other, guiding them through a terrible storm.	mazu goddess coast
灵位	língwèi	spirit seat; where soul dwells		ancestors ritual family
绫罗绸缎	líng luó chóu duàn	The four major silk fabric types (gauze, thin silk, thick silk, satin) often used together as a set phrase meaning luxury silk goods in general. An elegant way to say "silk" in classical and literary contexts.	The four major silk fabric types (gauze, thin silk, thick silk, satin) often used together as a set phrase meaning luxury silk goods in general. An elegant way to say "silk" in classical and literary contexts.	silk trade technology
聆听	língtīng	to listen attentively; to give careful ear to	聆 (to listen carefully , 耳 radical) + 听 (to hear). A formal compound for respectful, focused listening. Used for listening to elders, teachers, and music: 聆听老师的教诲 (listen attentively to the teacher's instruction); 聆听音乐 (to truly listen to music, not just hear it).	body perception radical
零件	língjiàn	spare part; component part	零 líng (fragmentary; odd; loose) + 件 jiàn (a piece). The small individual parts that make up a machine, especially replaceable ones. 零 carries the sense of scattered, loose pieces, so 零件 is the loose hardware: screws, gears, the bits kept in a parts drawer.	measure-words things meaning characters language science cosmology
零落	língluò	to wither and fall; scattered; declined and broken up	零 líng (to fall in drops) + 落 luò (to fall; to drop). Closest to the character's root: things falling and scattering. Of flowers and leaves, to wither and drop; of people, families, or fortunes, to scatter and decline (家道零落, the household fallen on hard times).	language science cosmology
零钱	língqián	small change; loose coins	零 líng (zero; scattered; odd bits) + 钱 qián. Change, small bills and coins. Increasingly rare in mainland China where mobile payment (微信支付/支付宝) dominates. 找钱 zhǎo qián = to give change. 整钱 zhěng qián = a whole bill (no change needed).	language science cosmology daily-life economy culture
零食	língshí	snacks; between-meal food	零 líng (small, piecemeal) + 食 shí (food). The bits eaten between whole meals: snacks, nibbles, treats. 吃零食 is to snack. The word reflects 零's sense of the scattered and fractional, food taken in small odd amounts rather than as a proper sit-down meal (整餐).	language science cosmology
零下	língxià	below zero; sub-zero (temperature)	零 líng (zero) + 下 xià (below). Below zero degrees, the standard way to state freezing temperatures: 零下十度 (minus ten degrees). Its counterpart 零上 (above zero) is less often said, since positive temperatures are usually given as a bare number.	language science cosmology
领会	lǐnghuì	to grasp the import of		perception meaning communication characters
领事馆	lǐngshìguǎn	consulate		food society daily-life characters
领土	lǐngtǔ	territory		politics society culture
领悟	lǐngwù	to grasp deeply		emotion perception gratitude
另外	lìngwài	"Besides" or "in addition	"Besides" or "in addition." Marks a related but separate point. Useful when you want to add information that is not strictly part of the same argument: 另外, 我想问你一件事 ("also, I want to ask you something").	space meaning family characters grammar time daily spoken language etiquette
刘半农	Liú Bànnóng	Liu Bannong, the inventor of 她 (1891–1934)		grammar modern social language
刘备	liú bèi	Liu Bei — the archetype of the benevolent ruler	The distant Han relative who founds Shu, in the novel the moral hero: humane, humble, and devoted to righteousness, winning loyalty not through force but through virtue and human feeling.	literature novels classics classical history strategy han biography warlord poet poetry statecraft
流	liú	to flow		cosmology space language radical daoism wuxing
流传	liúchuán	to circulate; to spread and survive; to be handed down	流 liú (to flow) + 传 chuán (to pass on). For a story, saying, or work to circulate widely and endure over time: 这个传说一直流传至今 "this legend has been handed down to the present day." Combines the flowing of 流 with the passing-on of 传.	transmission communication culture characters
流利	liúlì	fluent		daily spoken language etiquette
流行	liúxíng	popular; trending; to spread (of fashion, illness, songs)	流 liú (to flow) + 行 xíng. Flowing-and-traveling. The verb for something that spreads through a population , fashion, slang, popular songs, viruses. 流行音乐 = pop music; 流行病 = an epidemic; 这种说法很流行 = "this expression is very widespread."	movement motion ethics
留白	liúbái	留白 — leaving white; the empty space in composition	留 liú (to leave; to keep) + 白 bái (white; blank). The deliberate empty space left unpainted in Chinese composition: 留白 is an active compositional element, not a failure to fill space. Empty space creates breathing room, implies what is unseen, and activates the imagination.	arts nature taoism aesthetics classical art brush calligraphy culture history visual literary
六波罗蜜	liù bōluómì	the six paramitas; the six perfections of the bodhisattva path	波罗蜜 bōluómì from Sanskrit pāramitā: "crossing to the other shore" , from suffering to liberation, from delusion to insight.	philosophy buddhism confucianism knowing
六道	liù dào	the six realms of rebirth	六 (six) + 道 (path; way; realm). The six realms through which beings cycle in Buddhist cosmology: gods, asuras, humans, animals, hungry ghosts, and hell beings. The human realm (人道 rén dào or 人间道 rénjiān dào) occupies the middle tier. Beings move between realms through karma generated in each life.	buddhism religion philosophy cosmology classical fate life folk-religion poetry literary
六道轮回	liù dào lúnhuí	the six-realm cycle of rebirth; the full Buddhist cosmological cycle	The full phrase naming the complete cycle: 六道 (six realms) + 轮回 (the turning cycle). Used when the complete cosmological picture is being invoked rather than just the concept of rebirth in general.	buddhism religion philosophy cosmology classical fate life
六度	liùdù	the six perfections; the sixth is 般若		buddhism classics religion philosophy meditation chan
六法	liùfǎ	Six Principles		art culture aesthetics nature classical visual literary
六合	liùhé	the six directions; the whole universe	六 liù + 合 hé (to unite; union). The four compass directions plus up and down, hence the three-dimensional totality of space, the entire cosmos.	cosmology space language
六六大顺	liù liù dà shùn	"six-six, all goes smoothly" — a wish for things to go well	六六 (six-six) + 大顺 (great smoothness). A set blessing built on the homophony of 六 liù with 流 liú (to flow) and the auspicious 顺 shùn (smooth, unobstructed). Said at weddings, openings, and new beginnings to wish that everything proceed without obstacle.	cosmology space language symbolism culture daily-life folk-religion social
六器	liù qì	six ritual jades		nature culture virtue confucianism aesthetics royalty classical
六亲	liùqīn	the six relations; close kin	六 liù + 亲 qīn (relative; kin). The six categories of close relatives (variously listed: father, mother, elder and younger brothers, wife, children, in some reckonings). In practice 六亲 means one's close family as a whole.	cosmology space language
六十甲子	liùshí jiǎzǐ	The sixty-year cycle	The sixty-year cycle: the combination of twelve animals with ten Heavenly Stems, the basic unit of traditional Chinese time reckoning.	zodiac culture divination
六艺	liùyì	the six arts of the Confucian gentleman	六 liù + 艺 yì (art; skill). Rites (礼), music (乐), archery (射), charioteering (御), writing (书), and mathematics (数). The complete curriculum of the Zhou-dynasty gentleman, balancing civil and martial accomplishments.	cosmology space language
六月	liùyuè	June; the sixth month	六 liù + 月 yuè (month). June in the Gregorian calendar. Like all Chinese month names, it is simply the number plus 月, with no separate words for the months.	cosmology space language
六祖	Liùzǔ	the Sixth Patriarch (Huineng)		buddhism classics religion philosophy chan pure-land
六祖坛经	Liùzǔ tánjīng	the Platform Sutra of the Sixth Patriarch · ~20,000 characters · Tang dynasty	The only Chinese-authored Buddhist text designated a sutra. The recorded teachings of Huineng (惠能, 638-713 CE), the sixth patriarch of Chan and the founder of the Southern School.	buddhism classics religion philosophy chan pure-land
龙场悟道	Lóngchǎng wùdào	the Longchang Enlightenment	The awakening Wang Yangming experienced in 1508 while exiled to Longchang in Guizhou province. In the middle of the night, he grasped that the principles he had been seeking in external objects were already present in the mind itself , the insight that became the foundation of 心学.	wang-yangming neo-confucianism confucianism philosophy ethics human-nature knowing mind history ming
龙的传人	lóng de chuánrén	descendants of the dragon; heirs of the dragon civilization	龙 lóng + 的 de (possessive marker) + 传人 chuánrén (one to whom something is transmitted; inheritor). The phrase reached mass consciousness through the 1978 song 龙的传人 by Taiwanese songwriter Hou Dejian 侯德健, recorded in 1980 and covered countless times since.	culture history
龙凤	lóng fèng	dragon and phoenix; the imperial pair; auspicious union of opposites	龙 lóng + 凤 fèng (phoenix; 凤凰 fènghuáng). In classical Chinese cosmology, the dragon and phoenix are complementary opposites: 龙 is yang, male, the emperor, authority, and the power of water; 凤 is yin, female, the empress, grace, and the power of fire.	culture history
龙井	Lóngjǐng	Longjing — Dragon Well green tea	From 龙坞 Dragon Hollow near Hangzhou, Zhejiang. China's most famous green tea , flat-pressed leaves, clean chestnut aroma, and a 1,200-year history. Imperial tribute tea. 西湖龙井 Xī Hú Lóngjǐng (West Lake Dragon Well) is the protected-origin premium grade.	tea culture ritual philosophy
龙脉	lóngmài	dragon vein; underground energy channel	龙 lóng + 脉 mài (vein; pulse; channel). In feng shui 风水 theory, mountains are the visible backs of buried dragons; the ridgelines and peaks are the spine of a living creature moving through the earth. The 龙脉 are the underground channels through which this vital energy flows.	culture history science cosmology geography philosophy geomancy space
龙门	Lóngmén	Dragon Gate — the grottoes; the legend of transformation	龙 lóng + 门 mén (gate; door). Two distinct referents share this name. The historical Longmen Grottoes 龙门石窟 near Luoyang (Henan province) are a UNESCO World Heritage site: over 100,000 Buddhist statues carved into cliff faces along the Yi River, primarily during the Northern Wei and Tang dynasties.	culture history
龙年	lóng nián	Year of the Dragon	龙 lóng + 年 nián (year). The Dragon is the fifth sign of the twelve-year zodiac cycle 生肖 shēngxiào and the only mythic creature among the twelve.	culture history
龙袍	lóngpáo	dragon robe; the emperor's ceremonial garment	龙 lóng + 袍 páo (long robe). The emperor's official ceremonial dress, embroidered with nine five-clawed dragons on a yellow ground (yellow being the imperial color, reserved exclusively for the Son of Heaven).	culture history
龙头	lóngtóu	dragon head; leader; industry frontrunner; water faucet	龙 lóng + 头 tóu (head). Three active meanings in modern Chinese: (1) the dragon's literal head, (2) the leader or dominant player in an industry or organization (龙头企业 is the standard term for a market-leading company), and (3) a water faucet or tap, because classical bronze spigots were cast as a dra…	culture history
龙椅	lóngyǐ	the Dragon Throne; the imperial seat	龙 lóng + 椅 yǐ (chair; seat). The emperor's throne, elaborately carved with five-clawed dragons, in the Hall of Supreme Harmony 太和殿 of the Forbidden City in Beijing.	culture history
龙舟	lóngzhōu	dragon boat	龙 (dragon) + 舟 (boat, the classical word for it; 船 chuán is more common in modern speech). The ornate long boat with a dragon head at the prow. 赛龙舟 (to race dragon boats) is the verb phrase. 龙舟竞渡 (lóngzhōu jìngdù) is the literary term for the race.	culture history festival food calendar
聋	lóng	deaf		body perception radical
楼	lóu	multi-story building; floor		space dwelling architecture
楼房	lóufáng	multi-storey building	楼 (lóu, a building of multiple floors) plus 房. A building with stories stacked above ground, contrasted with the single-level 平房 (píngfáng). The everyday word for the apartment blocks of a modern Chinese city.	home daily-life settlement characters
楼上	lóushàng	upstairs; the floor above	楼 lóu (building; storied structure; floor) + 上 shàng (above; up). The floor above; upstairs. 楼下 is the natural pair. These two form one of the most common directional pairs in everyday speech, used for apartments, offices, restaurants, and any multi-story space.	direction grammar motion
鲁班	lǔ bān	Lu Ban, master carpenter		chengyu classical idioms mastery arts
鲁菜	Lǔcài	Shandong Cuisine		food culture geography history buddhism daily-life new-year northern trade
鲁国	Lǔ Guó	the state of Lu — Confucius's home state		history confucianism classical dynasty ancient politics ritual philosophy classics
鲁迅	lǔ xùn	Lu Xun, who praised it		classics history han literature ancient biography cultural-revolution mao 1966 1911 republic sun-yatsen
鲁智深	lǔ zhìshēn	Lu Zhishen — the tattooed monk	A hot-blooded army officer who kills a bullying butcher to save a wronged girl, then becomes a monk to escape the law, the "Flowery Monk" covered in tattoos.	literature novels classics classical song rebellion
录音	lùyīn	to record; a recording		phonology perception music characters
禄	lù	official salary; prosperity (三星福禄寿)		culture new-year symbolism
路程	lùchéng	journey distance, road length		direction geography nature classical analects confucianism
路灯	lùdēng	street lamp	路 (lù, road) + 灯 (lamp): the tall lights lining a street. They come on at dusk and mark the shape of the road after dark.	daily-life nature characters
路口	lùkǒu	intersection, road junction	路 lù (road) + 口 kǒu (mouth, opening). The "mouth of the road," where roads meet and a choice opens. Used both literally (the intersection up ahead) and figuratively for any decision point: 人生的路口 rénshēng de lùkǒu (a crossroads in life).	path directions movement
露	lù	dew; to expose		nature radical cosmology
驴	lǘ	donkey		nature daily-life characters
旅行	lǚxíng	to travel; travel, a trip	旅 lǚ (to journey; a traveler) + 行 xíng. The standard word for travel as recreation or as an extended trip. Distinguished from 出差 chūchāi (business travel) and 旅游 lǚyóu (tourism, sightseeing). 一次愉快的旅行 "a pleasant trip."	movement motion ethics
旅行社	lǚxíngshè	travel agency	旅行 lǚxíng (to travel) + 社 shè (agency). The business that arranges trips, tours, and tickets: 跟旅行社报名 "to sign up through a travel agency," 旅行社的导游 "the agency's tour guide." A textbook example of the agency sense of 社 attached to a whole two-syllable field word.	society social ritual characters
律诗	lǜshī	regulated verse — the Tang's dominant poetic form	The eight-line regulated poem: fixed tonal pattern, mandatory parallelism in the middle two couplets (对仗 duìzhàng), and strict rhyme scheme. An eight-line poem in five-character lines (五言律诗 wǔyán lǜshī) or seven-character lines (七言律诗 qīyán lǜshī).	poetry tang literature golden-age cosmopolitan
虑	lǜ	to deliberate; to consider; worry		mind emotion
绿	lǜ	green		color culture symbolism nature characters aesthetics philosophy
绿茶	lǜchá	green tea — the unoxidized counterpart white tea is most often contrasted with		tea white-tea culinary fujian culture drink dark-tea puerh history yunnan black-tea trade yellow-tea tisane herbal tcm health oolong brewing ceremony particle pragmatics spoken
绿灯	lǜdēng	green light		daily-life nature characters
绿叶红边	lǜ yè hóng biān	green leaf red edge — the visual sign of oolong oxidation		tea oolong culinary brewing ceremony
卵	luǎn	egg (literary/biological)		food nature daily-life characters
乱八糟	bā	eight as "every kind / all over"	In a large family of four-character expressions, 八 pairs with another number (most often 七) to mean "of all sorts, every which way," not a literal count: 七嘴八舌 (everyone talking at once), 四面八方 (from all directions), 七上八下 (agitated).	cosmology culture language
轮船	lúnchuán	steamship, large powered ship	轮 (wheel) + 船 (boat): the wheel is the paddle wheel of the first steamers, so the word came to mean any large engine-driven ship. Today it is the everyday term for a big passenger or cargo liner.	motion daily-life characters
论文	lùnwén	a paper; a thesis; a dissertation	论 + 文 wén (writing, text). A formal academic argument in writing: a journal paper, a term paper, a graduate thesis. 毕业论文 bìyè lùnwén "graduation thesis," 发表论文 fābiǎo lùnwén "to publish a paper."	communication rhetoric language characters
罗汉	luóhàn	arhat — Theravada ideal of personal liberation		buddhism religion compassion folk-religion
罗盘	luópán	Geomantic compass	Geomantic compass: a multi-ring instrument centered on a magnetic needle, encoding the eight trigrams, Heavenly Stems and Earthly Branches, 24 solar term directions, 28 lunar mansions, and multiple other cosmological correspondence systems in concentric rings.	science cosmology geography history philosophy geomancy
锣鼓	luógǔ	Gongs and drums	Gongs and drums: the percussion ensemble that provides the rhythmic foundation of Peking Opera and cues entrances, emotional intensification, and combat sequences.	opera theatre performance culture arts history
落成	luòchéng	to be completed (of a building); inauguration	落 luò (to settle) + 成 chéng (to complete, to become). Used specifically for the completion of a building or major construction project. 落成典礼 = inauguration ceremony.	movement space settlement
落第	luòdì	to fail the examination; to be rejected from the list	Literally "to fall from the notice board": 第 refers to the ranked list of successful candidates posted publicly after each examination. To fail was to have your name absent from that list.	meaning education characters grammar history confucianism tang song ming qing
落后	luòhòu	to fall behind; backward; underdeveloped	落 luò + 后 hòu (behind). To lag behind others in a race, in development, or in progress. Used in sports, economics, and social commentary. Carries a normative weight , something that has fallen behind should catch up.	movement space settlement
落脚	luòjiǎo	to settle in (a place); to find lodging; to come to rest	落 luò (to fall; to land) + 脚. To set the foot down after travel , to find a place to stay, to settle in temporarily or permanently. 在北京落脚 "to settle in Beijing" (especially as a newcomer); 落脚点 luòjiǎodiǎn "a place to settle, a foothold."	body movement space settlement
落实	luòshí	to implement; to pin down; to make concrete	落 luò (to land) + 实 shí (solid, real, concrete). To take something from the abstract and make it real , to land on a decision, confirm a plan, carry out a policy. One of the most important governance and management words in Chinese.	movement space settlement
落下	luòxià / làxia	to fall; to drop behind; to be left behind	Two distinct pronunciations with different meanings. luò xià = to fall downward (rain falling, price falling). là·xia (neutral tone) = to fall behind, to leave something behind by accident: 把钥匙落下了 "left the keys behind."	movement space settlement
妈妈	māma	mother		family culture body
妈祖	Māzǔ	Mazu — goddess of the sea, protector of sailors	A historical woman named Lin Mo (林默, 960–987 CE) from Fujian Province who died young and was venerated as a protector of fishermen. Over centuries, the imperial court awarded her progressively higher titles, and she was absorbed into the Daoist pantheon.	daoism religion immortality buddhism folk-religion goddess compassion gods philosophy classical
麻烦	máfan	trouble; hassle		vocabulary communication daily-life evaluation
麻辣	málà	numbing-spicy	Numbing-spicy , the characteristic flavor combination of Sichuan cuisine, combining the numbing sensation (麻 má) of Sichuan pepper (花椒 huājiāo) with the heat (辣 là) of chili pepper. The geographic signature of the Sichuan basin's isolated, humid interior.	geography food culture history river coast trade culinary nature
麻辣锅底	málà guōdǐ	mala broth base; numbing-hot pot		food culture social history daily-life
麻婆豆腐	mápó dòufu	Mapo Tofu		food culture geography history
马车	mǎchē	horse-drawn carriage, cart	马 (horse) + 车 (cart, vehicle). The literal horse-and-cart, the carriage that ran on the 马路 long before engines.	nature daily-life characters
马虎	mǎhu	careless, sloppy	马 (horse) + 虎 (tiger). A folk tale tells of a painter who drew a creature half horse, half tiger and could not say which it was; the slapdash beast gave its name to careless, half-attentive work.	nature daily-life characters virtue ethics knowing
马可·波罗	Mǎkě Bōluó	Marco Polo		yuan mongol kublai
马拉松	mǎlāsōng	marathon		motion body daily-life
马力	mǎlì	horsepower	马 (horse) + 力 (power, force). A loan-translation of "horsepower," the unit that measures an engine in horses, keeping the animal alive inside the machine that replaced it.	nature daily-life characters
马路	mǎlù	street, paved road, main thoroughfare	马 mǎ (horse) + 路 lù (road). Originally "horse road," wide and packed enough to take horse traffic, in contrast with footpaths. In modern usage 马路 is the standard word for a paved urban street, especially one with vehicle traffic. Crossing it: 过马路 guò mǎlù.	settlement daily-life society characters path directions movement nature
马年	mǎ nián	Year of the Horse		nature daily-life characters
马上	mǎshàng	immediately; right away; at once	马 mǎ (horse) + 上 shàng (on top of; mounted on). Literally "on horseback," from the military image of an order being carried out while still mounted, without dismounting. One of the most common adverbs in spoken Mandarin.	nature daily-life characters direction grammar motion adverb timing emphasis vocabulary time
马戏	mǎxì	circus		nature daily-life characters
码头	mǎtou	pier; also: turf (underworld)		wuxia culture society
买	mǎi	to buy; to purchase		meaning society daily-life characters
买不起	mǎibuqǐ	cannot afford	Buy + not + shoulder. Distinct from 买不到 (can't get one: sold out) , the two negatives diagnose different tragedies, wallet versus supply chain.	grammar syntax spoken
买了	mǎi le	bought; purchased (transaction complete)	Transactional and decisional verbs with 了 are extremely common in everyday conversation. The completion is commercially and practically significant , the item has been acquired, the deal is done, the decision has been executed.	aspect particle tense
麦西热甫	màixīrèfǔ	meshrep — the traditional Uyghur community gathering	麦西热甫 màixīrèfǔ (meshrep, from Persian/Turkic mäshrip meaning "gathering place") is the traditional Uyghur social institution: a community assembly that brings people together for music, dance, storytelling, comedy, and the resolution of social disputes through a combination of festivity and collecti…	islam hui uyghur
馒头	mántou	steamed bun		body space meaning characters
满	mǎn	full, brimming		food body daily-life characters
满意	mǎnyì	satisfied; pleased; content	满 mǎn (full) + 意 yì (heart; wish). The heart filled to its wish, hence satisfied: 对结果很满意 "very pleased with the result." Its opposite is 不满 bùmǎn, dissatisfied.	meaning mind emotion characters
满月	mǎnyuè	the one-month celebration for a newborn	满 mǎn (full; complete) + 月 yuè (month). When a baby has survived its first full month , historically the most dangerous period , the family celebrates with red eggs (红鸡蛋 hóng jīdàn), gifting of gold jewelry, and a feast. The custom signals that the child is likely to thrive.	culture daily-life history social
满足	mǎnzú	satisfied; to satisfy; contentment	满 (mǎn, full; filled to capacity) + 足 (sufficient). Completely sufficient: fulfillment, contentment, the state of having enough and knowing it. Both a verb (满足需求, to satisfy a need) and an adjective (感到很满足, to feel deeply satisfied).	body motion radical
满族	Mǎnzú	Manchu people		qing manchu decline
慢慢	mànmàn	slowly; gradually; little by little	Reduplication of 慢 to form an adverb of manner. 慢慢 implies an unhurried pace that unfolds naturally over time, without pressure. Warmer in register than 慢慢地 (the version with the adverbial particle 地), though both are standard.	emotion daily-life adjectives
慢慢地走	mànmàn de zǒu	walks slowly — reduplicated adverb + 地 + verb	地 links a manner adverb or adverbial phrase to the verb it modifies. It always sits between the adverb and the verb. The adverb answers "how?" the action is performed. Reduplication of adjectives to form adverbs + 地 is extremely common and productive: 慢慢地, 快快地, 轻轻地, 安静地.	particle complement adverb
慢性	mànxìng	chronic; slow-developing (medical)	慢 màn (slow) + 性 xìng (nature, character, disposition). "Of a slow nature." The medical term for chronic conditions, contrasted with 急性 jíxìng (acute, sudden-onset). 慢性病 mànxìngbìng = chronic illness. 慢性子 mànxíngzi = a person with a slow, unhurried temperament (slightly pejorative; see note).	emotion daily-life adjectives
慢走	màn zǒu	walk slowly — polite farewell to a departing guest	慢 màn (slow) + 走 zǒu (to walk; to leave). Literally "walk slowly" , said by a host as a guest departs, equivalent to "take care" or "safe travels." The Chinese farewell phrase, so common it has become almost automatic. The literal meaning (don't rush away) has calcified into pure social courtesy.	emotion daily-life adjectives
